depot;vehicle_id;vehicle_short_name;opd_date
PO;1001214;33587;15/01/2017
PO;1001218;33595;15/01/2017
PO;1001221;33601;15/01/2017
CD;1001225;33609;15/01/2017
D1;1001229;33617;15/01/2017
HN;1001232;33623;15/01/2017
SL;1001236;33631;15/01/2017
SL;1001239;33637;15/01/2017
D2;1001243;33645;15/01/2017
PO;1001268;24247;15/01/2017
CD;1001099;33407;15/01/2017
CD;1001100;33409;15/01/2017
CD;1001101;33411;15/01/2017
CD;1001102;33413;15/01/2017
RD;1001103;33415;15/01/2017
CF;1001104;33417;15/01/2017
HN;1001105;33419;15/01/2017
SL;1001106;33421;15/01/2017
SL;1001107;33423;15/01/2017
SL;1001108;33425;15/01/2017
SL;1001109;33427;15/01/2017
SL;1001110;33429;15/01/2017
PO;1001111;33431;15/01/2017
PO;1001112;33433;15/01/2017
PO;1001113;33435;15/01/2017
PO;1001114;33437;15/01/2017
PO;1001115;33439;15/01/2017
PO;1001116;33441;15/01/2017
PO;1001117;33443;15/01/2017
PO;1001118;33445;15/01/2017
HN;1001119;33447;15/01/2017
PO;1001120;33449;15/01/2017
HN;1001121;33451;15/01/2017
HN;1001122;33453;15/01/2017
HN;1001123;33455;15/01/2017
HN;1001124;33457;15/01/2017
RD;1001125;33459;15/01/2017
RD;1001126;33461;15/01/2017
SL;1001127;33463;15/01/2017
D1;1001128;33465;15/01/2017
D1;1001129;33467;15/01/2017
RD;1001130;33469;15/01/2017
RD;1001131;33471;15/01/2017
RD;1001132;33473;15/01/2017
RD;1001133;33475;15/01/2017
RD;1001134;33477;15/01/2017
PO;1001135;40001;15/01/2017
RD;1001136;33479;15/01/2017
PO;1001137;40003;15/01/2017
RD;1001138;33481;15/01/2017
PO;1001139;40005;15/01/2017
RD;1001140;33483;15/01/2017
PO;1001141;40007;15/01/2017
RD;1001142;33485;15/01/2017
PO;1001143;40009;15/01/2017
RD;1001144;33487;15/01/2017
PO;1001145;40011;15/01/2017
RD;1001146;33489;15/01/2017
HN;1001147;40013;15/01/2017
RD;1001148;33491;15/01/2017
HN;1001149;40015;15/01/2017
RD;1001150;33493;15/01/2017
HN;1001151;40017;15/01/2017
RD;1001152;33495;15/01/2017
HN;1001153;40019;15/01/2017
HN;1001154;33497;15/01/2017
HN;1001155;40021;15/01/2017
HN;1001156;33499;15/01/2017
HN;1001157;40023;15/01/2017
HN;1001158;33501;15/01/2017
HN;1001159;40025;15/01/2017
HN;1001160;33503;15/01/2017
SL;1001161;40027;15/01/2017
HN;1001162;33505;15/01/2017
SL;1001163;40029;15/01/2017
HN;1001164;33507;15/01/2017
SL;1001165;40031;15/01/2017
HN;1001166;33509;15/01/2017
SL;1001167;40033;15/01/2017
PO;1001168;33511;15/01/2017
SL;1001169;40035;15/01/2017
PO;1001170;33513;15/01/2017
SL;1001171;40037;15/01/2017
PO;1001172;33515;15/01/2017
SL;1001173;40039;15/01/2017
RD;1001174;33517;15/01/2017
SL;1001175;40041;15/01/2017
RD;1001176;33519;15/01/2017
SL;1001177;40043;15/01/2017
D1;1001178;33521;15/01/2017
SL;1001179;40045;15/01/2017
D1;1001180;33523;15/01/2017
SL;1001181;40047;15/01/2017
D1;1001182;33525;15/01/2017
SL;1001183;40049;15/01/2017
D1;1001184;33527;15/01/2017
RD;1001186;33531;15/01/2017
CD;1001187;33533;15/01/2017
HN;1001188;33535;15/01/2017
D1;1001190;33539;15/01/2017
D1;1001191;33541;15/01/2017
D1;1001192;33543;15/01/2017
HN;1001194;33547;15/01/2017
SL;1001195;33549;15/01/2017
HN;1001197;33553;15/01/2017
D1;1001198;33555;15/01/2017
PO;1001199;33557;15/01/2017
PO;1001201;33561;15/01/2017
PO;1001202;33563;15/01/2017
PO;1001204;33567;15/01/2017
PO;1001205;33569;15/01/2017
PO;1001206;33571;15/01/2017
PO;1001208;33575;15/01/2017
PO;1001209;33577;15/01/2017
PO;1001210;33579;15/01/2017
PO;1001212;33583;15/01/2017
PO;1001213;33585;15/01/2017
PO;1001215;33589;15/01/2017
PO;1001216;33591;15/01/2017
PO;1001217;33593;15/01/2017
PO;1001219;33597;15/01/2017
PO;1001220;33599;15/01/2017
CD;1001222;33603;15/01/2017
CD;1001223;33605;15/01/2017
