point_id;point_code;short_name;long_name;stop_id;point_role;gps_longitude;gps_latitude;valid_from;valid_until
2982;02982;02982;Taylor's Lane Junction Whitechurch Road;102982;S;-6.285394;53.281643;30/11/2011;01/01/2036
7095;07095;07095;Northwest Business P Junction Corduff Road;107095;S;-6.348162;53.411427;30/11/2011;01/01/2036
5170;05170;05170;Wynnsward Drive Junction Clonskeagh Road;105170;S;-6.236424;53.308032;30/11/2011;01/01/2036
7213;07213;07213;St. Margarets Road at house numbe 179;107213;S;-6.284853;53.406197;30/11/2011;01/01/2036
5183;05183;05183;Adamstown Link Road Near Adamstown Avenue;105183;S;-6.453086;53.335667;30/11/2011;01/01/2036
1855;01855;01855;Snugborough Rd Ext. Opposite Coolmine Estate;101855;S;-6.398964;53.385633;30/11/2011;01/01/2036
3266;03266;03266;Mart Lane St. Brigid's School;103266;S;-6.17017;53.269316;30/11/2011;01/01/2036
1866;01866;01866;Huntstown Way Ashfield Park;101866;S;-6.402675;53.399825;30/11/2011;01/01/2036
2625;02625;02625;Cheeverstown Road Junction Fettercairn Road;102625;S;-6.399645;53.288321;30/11/2011;01/01/2036
7037;07037;07037;Rossmore Road Ballyfermot Opposite Boundary Wall of Nos. 54-56;107037;S;-6.355904;53.345906;30/11/2011;01/01/2036
382;00382;00382;St. John's Road Seamount House;100382;S;-6.20763;53.325093;30/11/2011;01/01/2036
1149;01149;01149;Scholarstown Road St. Colmcille's Community School;101149;S;-6.315701;53.27938;30/11/2011;01/01/2036
4364;04364;04364;Cappagh Road Mater Christi School;104364;S;-6.321934;53.392643;30/11/2011;01/01/2036
508;00508;00508;Clonliffe Road Opposite Distillery Road;100508;S;-6.249128;53.362161;30/11/2011;01/01/2036
5181;05181;05181;Adamstown Adamstown Link Road;105181;S;-6.444677;53.335156;30/11/2011;01/01/2036
577;00577;00577;Harbour Road Old Courthouse;100577;S;-6.070151;53.388158;30/11/2011;01/01/2036
4540;04540;04540;Farnham Drive Opposite Erins Isle GAA Club;104540;S;-6.300384;53.384415;30/11/2011;01/01/2036
1864;01864;01864;Huntstown Way Sacred Heart Church;101864;S;-6.410361;53.401812;30/11/2011;01/01/2036
580;00580;00580;Howth Road Transport Museum;100580;S;-6.079619;53.388769;30/11/2011;01/01/2036
